n,n_senses,chance,purity_k1,excess_k1,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,within,between,gap
400,2,0.49874686716791977,0.6,0.202,0.6085,0.21895750000000014,0.58425,0.17057875000000017,0.568375,0.138908125,0.5528,0.10783599999999997,0,1,one,n,0.02175769954919815,0.010581382550299168,0.011176316998898983
399,2,0.49874686716791977,0.6516290726817042,0.305,0.6922305764411028,0.38600000000000007,0.6784461152882205,0.3585,0.6600250626566416,0.3217500000000001,0.6380451127819549,0.27790000000000004,0,1,only,a,0.031231369823217392,-0.0245829988270998,0.05581437051296234
400,2,0.49874686716791977,0.615,0.23192500000000005,0.5915,0.1850425000000001,0.57,0.14214999999999997,0.568375,0.138908125,0.55385,0.10993074999999997,0,1,only,r,0.020601870492100716,0.0081334812566638,0.012468389235436916
2200,11,0.0904956798544793,0.3890909090909091,0.3283054545454545,0.3099090909090909,0.24124504545454545,0.2834090909090909,0.2121082954545454,0.2544318181818182,0.1802477840909091,0.2207181818181818,0.14317964090909088,0,1,order,n,0.11264592409133911,0.031103547662496567,0.08154237270355225
600,3,0.332220367278798,0.5766666666666667,0.3660583333333333,0.5163333333333333,0.2757091666666666,0.4781666666666667,0.21855458333333336,0.44383333333333336,0.1671404166666667,0.3989333333333333,0.09990266666666663,0,1,order,v,0.049739692360162735,0.01101774163544178,0.038721948862075806
400,2,0.49874686716791977,0.83,0.66085,0.762,0.5251900000000002,0.7375,0.4763125000000002,0.717875,0.43716062500000014,0.6806,0.36279700000000004,0,1,other,a,0.028658738359808922,-0.014917811378836632,0.043576549738645554
400,2,0.49874686716791977,0.67,0.3416500000000002,0.644,0.2897800000000001,0.62575,0.2533712500000001,0.606,0.21397000000000002,0.567,0.13616499999999995,0,1,out,r,0.00819349940866232,-0.003570263972505927,0.01176376361399889
400,2,0.49874686716791977,0.6675,0.33666250000000003,0.634,0.26983000000000007,0.61875,0.23940625000000013,0.600375,0.20274812500000006,0.5664,0.1349680000000001,0,1,over,r,0.008455511182546616,-0.0004096759657841176,0.00886518694460392
1600,8,0.12445278298936835,0.425625,0.3439816964285714,0.35375,0.2618901785714286,0.324625,0.22862526785714285,0.2995,0.19992892857142858,0.270425,0.16672112500000003,0,1,part,n,0.19049502909183502,-0.01015784963965416,0.20065288245677948
1200,6,0.16597164303586323,0.6083333333333333,0.5303916666666666,0.5273333333333333,0.43327266666666664,0.49466666666666664,0.39410533333333325,0.451375,0.342198625,0.39863333333333334,0.27896136666666665,0,1,return,n,0.1496974229812622,0.0007507471600547433,0.14894667267799377
800,4,0.2490613266583229,0.56375,0.4190604166666666,0.5315,0.37611416666666664,0.5175,0.35747083333333324,0.4918125,0.32326364583333334,0.466675,0.289788875,0,1,return,v,0.08882088959217072,-0.02052421309053898,0.10934510082006454
1200,6,0.16597164303586323,0.49,0.38851,0.42916666666666664,0.31557083333333324,0.396,0.275804,0.3682916666666667,0.24258170833333334,0.32886666666666664,0.19531113333333328,0,1,right,a,0.027451589703559875,0.00040735758375376463,0.027044232934713364
1000,5,0.1991991991991992,0.55,0.4380625000000001,0.4678,0.33541525,0.4404,0.3011995,0.4084,0.2612395,0.36462,0.206569225,0,1,right,n,0.17406012117862701,-0.006558239925652742,0.18061836063861847
800,4,0.2490613266583229,0.51875,0.3591354166666667,0.43725,0.2506045833333334,0.40875,0.21265208333333335,0.3838125,0.17944364583333336,0.3445,0.12709249999999997,0,1,right,r,0.028585925698280334,0.014368156902492046,0.014217768795788288
800,4,0.2490613266583229,0.41875,0.22596875000000002,0.37925,0.17336791666666665,0.35125,0.13608125000000001,0.33,0.10778333333333337,0.310725,0.08211545833333331,0,1,same,a,0.008506802842020988,-0.002468295395374298,0.010975098237395287
400,2,0.49874686716791977,0.835,0.670825,0.8105,0.6219475000000001,0.80675,0.61446625,0.7945,0.5900275,0.78455,0.5701772500000001,0,1,second,n,0.2845062017440796,-0.27904871106147766,0.5635548830032349
1600,8,0.12445278298936835,0.37625,0.2875883928571428,0.308625,0.21035098214285713,0.289375,0.18836473214285715,0.2645625,0.1600253125,0.231125,0.12183491071428572,0,1,see,v,0.1072002574801445,0.012850933708250523,0.09434932470321655
1400,7,0.14224446032880628,0.44,0.34713333333333335,0.37485714285714283,0.271187619047619,0.3454285714285714,0.23687880952380952,0.3121785714285714,0.19811485119047617,0.2604142857142857,0.13776632142857143,0,1,set,n,0.05634346976876259,0.010650165379047394,0.045693304389715195
