sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
exemplar.n.01,200,400,0.49874686716791977,0.841,0.682795,0.822,0.64489,0.789,0.5790550000000002,0.7349,0.4711255000000001,0,1,example,n,867,278,0.0092092963970088,-2.0357735492352087
file.n.01,200,800,0.2490613266583229,0.473,0.29821166666666665,0.4295,0.2402841666666667,0.389,0.1863516666666667,0.3569,0.14360516666666667,0,1,file,n,79904,63733,0.9502426029873466,-0.022165502408132923
file.n.02,200,800,0.2490613266583229,0.654,0.5392433333333334,0.648,0.5312533333333334,0.62125,0.49563124999999997,0.5778,0.4377703333333333,0,1,file,n,2290,235,0.0272333745599847,-1.5648985407395
file.n.03,200,800,0.2490613266583229,0.31,0.08115000000000001,0.288,0.051853333333333314,0.26875,0.026218749999999996,0.2415,-0.010069166666666667,0,1,file,n,1580,256,0.0187898392160593,-1.7260769361249655
file.n.04,200,800,0.2490613266583229,0.418,0.22497,0.372,0.16371333333333335,0.33275,0.11144541666666667,0.2975,0.06450416666666667,0,1,file,n,314,260,0.0037341832366092,-2.4278043750061795
file.v.01,200,400,0.49874686716791977,0.848,0.69676,0.8415,0.6837925000000001,0.81725,0.6354137500000001,0.7549,0.5110255000000001,0,1,file,v,64196,61398,0.9553118349975446,-0.019854841910595545
file.v.05,200,400,0.49874686716791977,0.834,0.66883,0.8135,0.6279325000000001,0.80175,0.60449125,0.7232,0.447784,0,1,file,v,1954,1287,0.0290778136579413,-1.536438250907481
detect.v.01,200,1400,0.14224446032880628,0.514,0.433405,0.4905,0.40600791666666664,0.47175,0.3841485416666667,0.4623,0.37313141666666666,0,1,find,v,21555,3619,0.2246997748311233,-0.648397362781804
determine.v.01,200,1400,0.14224446032880628,0.757,0.7167024999999999,0.722,0.6758983333333334,0.7115,0.6636570833333334,0.6927,0.6417394166666666,0,1,find,v,20553,5638,0.2142544408306229,-0.6690701677326653
find.v.01,200,1400,0.14224446032880628,0.335,0.22472083333333334,0.3085,0.19382625,0.27875,0.15914270833333333,0.2321,0.10475658333333335,0,1,find,v,16272,2448,0.1696272204153114,-0.7705044543930417
find.v.03,200,1400,0.14224446032880628,0.198,0.0650016666666667,0.206,0.07432833333333333,0.204,0.07199666666666667,0.2109,0.08004091666666668,0,1,find,v,9279,2426,0.096728796597448,-1.01444421524887
find.v.05,200,1400,0.14224446032880628,0.303,0.18741416666666666,0.279,0.1594341666666667,0.25225,0.12824812499999996,0.2072,0.07572733333333334,0,1,find,v,4509,3402,0.0470040030022516,-1.3278651546651412
